id,alunoId,programId,turmaId,periodoInicio,periodoTermino,totalSessoesContratadas,observacoes,criadoPor,isActive,createdAt,updatedAt
1,570031,19,,2025-12-31 00:00:00,2026-07-30 00:00:00,6,,1,1,2026-03-19 00:29:19,2026-03-19 00:38:33
2,570031,19,,2026-05-31 00:00:00,2026-12-30 00:00:00,10,,1,0,2026-03-19 00:40:02,2026-03-19 00:40:45
30001,720017,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-20 23:56:46,2026-03-20 23:56:46
30002,720023,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-21 00:22:31,2026-03-21 00:22:31
30003,720029,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-21 00:43:20,2026-03-21 00:43:20
60001,750005,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-21 19:37:42,2026-03-21 19:37:42
60002,750011,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-21 19:47:40,2026-03-21 19:47:40
60003,750017,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-21 19:56:51,2026-03-21 19:56:51
60004,750023,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-21 20:01:16,2026-03-21 20:01:16
90001,780005,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-21 22:31:45,2026-03-21 22:31:45
90002,780011,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-21 22:39:56,2026-03-21 22:39:56
90003,780017,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-21 22:51:45,2026-03-21 22:51:45
90004,780023,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-21 22:52:07,2026-03-21 22:52:07
90005,780029,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-21 23:23:50,2026-03-21 23:23:50
90006,780035,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-21 23:42:16,2026-03-21 23:42:16
120001,810005,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-23 14:51:07,2026-03-23 14:51:07
120002,810011,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-23 14:51:31,2026-03-23 14:51:31
120003,810017,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-23 15:17:06,2026-03-23 15:17:06
120004,810023,17,,2025-12-31 00:00:00,2026-12-30 00:00:00,0,,,1,2026-03-24 00:31:31,2026-03-24 00:31:31
120005,810029,17,,2026-01-01 00:00:00,2026-12-31 00:00:00,0,,,1,2026-03-24 02:31:27,2026-03-24 02:31:27
150001,840005,17,,2026-01-01 00:00:00,2026-12-31 00:00:00,0,,,1,2026-03-24 15:39:42,2026-03-24 15:39:42
150002,840011,17,,2026-01-01 00:00:00,2026-12-31 00:00:00,0,,,1,2026-03-24 15:56:28,2026-03-24 15:56:28
180001,870005,17,,2026-01-01 00:00:00,2026-12-31 00:00:00,0,,,1,2026-03-26 14:58:25,2026-03-26 14:58:25
