id,externalId,name,programId,year,isActive,createdAt,updatedAt
36,95590,[2024] Banrisul - B.E.M. | Basic,19,2024,1,2026-01-27 23:03:32,2026-03-03 22:38:43
37,97097,[2024] Banrisul - B.E.M. | Essential,19,2024,1,2026-01-27 23:03:32,2026-03-03 22:38:43
30001,95599,[2024] SEBRAE Acre - Turma 1.0,16,2024,1,2026-02-13 14:13:19,2026-02-13 14:13:19
30002,97600,[2025] Embrapii | Basic,18,2025,1,2026-02-13 14:13:19,2026-03-03 22:38:43
30003,103111,[2025] SEBRAE Tocantins - Visão de Futuro [BS2],17,2025,1,2026-02-13 14:13:19,2026-02-13 14:13:19
30004,103567,[2025] SEBRAE Acre - B.E.M. | Basic,16,2025,1,2026-02-13 14:13:19,2026-03-03 22:38:43
30005,104073,[2025] SEBRAE Tocantins - Basic [BS1],17,2025,1,2026-02-13 14:13:19,2026-03-03 22:38:43
30006,105320,[2025] SEBRAE Acre - B.E.M. | Essential,16,2025,1,2026-02-13 14:13:19,2026-03-03 22:38:43
30007,105373,[2025] SEBRAE Tocantins - Essential [BS1],17,2025,1,2026-02-13 14:13:19,2026-03-03 22:38:43
30008,105645,[2025] SEBRAE Tocantins - Basic [BS3],17,2025,1,2026-02-13 14:13:19,2026-03-03 22:38:43
30009,106854,[2025] Embrapii | Jornada Personalizada,18,2025,1,2026-02-13 14:13:19,2026-02-13 14:13:19
30010,107468,[2025] SEBRAE Acre - B.E.M. | Masters,16,2025,1,2026-02-13 14:13:19,2026-02-13 14:13:19
30011,108153,[2026] Embrapii | Visão do Futuro,18,2026,1,2026-02-13 14:13:19,2026-02-13 14:13:19
60001,BS3_2026_TO,[2026] SEBRAE Tocantins - Essential [BS3],17,2026,1,2026-03-05 20:21:31,2026-03-05 20:21:31
