id,weekNumber,year,uploadedBy,status,notes,createdAt,updatedAt,programId,totalRecords
1,4,2026,1,completed,,2026-01-28 00:26:14,2026-01-28 00:26:16,,
2,4,2026,1,completed,,2026-01-28 00:26:49,2026-01-28 00:26:51,,
3,4,2026,1,pending,,2026-01-28 00:30:48,2026-01-28 00:30:48,,
4,4,2026,1,completed,,2026-01-28 00:41:14,2026-01-28 00:41:15,,
5,4,2026,1,completed,,2026-01-28 01:11:32,2026-01-28 01:11:34,,
30001,7,2026,1,completed,"Importação planilha de performance atualizada - 1464 registros, 100 alunos, 11 turmas",2026-02-13 14:14:22,2026-02-13 14:14:22,,1464
30002,7,2026,1,completed,"Importação de eventos atualizados - 3 planilhas: SEBRAE Acre (822 participações, 25 eventos), SEBRAE TO (909 participações, 20 eventos), EMBRAPII (299 participações, 23 eventos)",2026-02-13 14:44:15,2026-02-13 14:44:15,,2030
30003,7,2026,1,completed,"Importação de mentorias atualizadas - 3 planilhas: SEBRAE Acre, SEBRAE TO, EMBRAPII - 1076 sessões",2026-02-13 14:46:55,2026-02-13 14:46:55,,1076
60001,9,2026,1,completed,,2026-03-03 00:09:04,2026-03-03 00:09:06,,
90001,9,2026,1,completed,,2026-03-04 11:48:22,2026-03-04 11:48:24,,
90002,9,2026,1,completed,,2026-03-04 11:58:56,2026-03-04 11:58:58,,
120001,9,2026,1,completed,,2026-03-04 15:39:04,2026-03-04 15:39:07,,
120002,9,2026,1,completed,,2026-03-04 15:39:33,2026-03-04 15:39:36,,
150001,9,2026,1,completed,,2026-03-04 23:29:13,2026-03-04 23:29:16,,1522
180001,10,2026,1,completed,,2026-03-06 22:36:38,2026-03-06 22:36:41,,1522
210001,11,2026,1,completed,,2026-03-12 13:32:58,2026-03-12 13:33:01,,1249
240001,11,2026,1,completed,,2026-03-16 14:20:04,2026-03-16 14:20:08,,1249
270001,11,2026,1,completed,,2026-03-18 15:53:12,2026-03-18 15:53:15,,1249
300001,12,2026,1,completed,,2026-03-20 15:37:43,2026-03-20 15:37:46,,1249
330001,12,2026,1,completed,,2026-03-22 17:00:59,2026-03-22 17:01:03,,1249
